,Time,Depth,Radius,Energy,Star_Stability,Temperature
178,7.11373257,808.0,1.14,7.975,4.855,3552.0
179,3.306551643,509.0,0.895,22.090000000000003,4.855,3552.0
180,15.36845737,756.0,1.09,2.8449999999999998,4.855,3552.0
181,13.81020318,1310.0,4.785,138.975,4.3015,5933.5
182,4.093578461,539.0,3.08,574.13,4.411,6049.5
186,4.082274889,17900.0,11.315000000000001,305.875,4.524000000000001,5655.0
187,3.886655224,582.0,1.975,287.065,4.566000000000001,5662.0
188,42.1406089,896.0,1.8900000000000001,3.6600000000000006,4.641,4500.0
189,4.617490562,576.0,1.6500000000000001,69.71,4.641,4500.0
190,10.19849255,634.0,1.775,24.240000000000002,4.641,4500.0
191,7.15681552,867.0,2.42,86.14000000000001,4.519,5033.0
192,17.64830851,763.0,2.3850000000000002,25.86,4.519,5033.0
193,4.14810719,175.0,1.0550000000000002,178.43,4.519,5033.0
194,16.51410989,974.0,2.7350000000000003,45.485,4.488,5527.0
195,30.1329298,1020.0,3.165,20.410000000000004,4.488,5527.0
196,4.79090809,251.0,1.37,237.235,4.488,5527.0
197,31.71981013,363.0,2.945,70.535,4.0765,5869.0
199,4.708326451,7910.0,10.745,499.78499999999997,4.2775,5560.0
200,5.392026903,1150.0,2.765,136.065,4.550000000000001,5198.0
201,2.494170338,864.0,2.48,511.41,4.536,5563.5
204,3.314947362,1400.0,4.31,537.52,4.418,5601.0
205,39.6431552,15700.0,10.845,11.695,4.476,5236.0
206,21.80451611,1140.0,2.74,23.93,4.587,5489.5
207,10.28194593,1110.0,2.6149999999999998,56.48,4.557499999999999,5196.0
208,18.11993039,1510.0,3.05,26.529999999999998,4.557499999999999,5196.0
209,3.78402867,426.0,1.7650000000000001,214.085,4.557499999999999,5196.0
210,5.15448142,698.0,3.0599999999999996,237.41500000000002,4.431,5431.0
211,5.743469797,1240.0,3.46,289.47499999999997,4.443,5888.0
212,39.4759093,1010.0,4.494999999999999,34.375,4.369,6192.5
213,3.166353562,1470.0,4.225,819.4649999999999,4.3919999999999995,5986.0
218,6.104849417,2090.0,3.17,90.05,4.592,5085.0
219,3.578780566,11400.0,10.43,412.85,4.423500000000001,5524.0
220,5.826657508,1540.0,4.145,263.23,4.3735,5557.0
221,12.41216347,611.0,2.615,95.995,4.3735,5557.0
222,18.74649011,797.0,3.09,55.465,4.3735,5557.0
223,20.86021229,1910.0,5.365,88.635,4.247999999999999,6035.0
224,42.63427848,1720.0,5.095,34.16,4.247999999999999,6035.0
225,87.6476068,1010.0,3.905,13.075,4.247999999999999,6035.0
226,9.61731426,234.0,1.895,248.595,4.247999999999999,6035.0
227,9.467821474,2240.0,2.0999999999999996,6.404999999999999,4.8095,3573.0
228,4.942783419,11100.0,10.974999999999998,267.12,4.429499999999999,5508.5
229,20.83426731,988.0,2.975,37.225,4.479000000000001,5537.0
230,9.94602357,995.0,3.125,104.095,4.383,5344.0
231,1.04562195,213.0,1.45,2107.87,4.383,5344.0
232,8.14515981,447.0,3.33,290.30500000000006,4.242,5902.0
233,18.9985279,431.0,41.985,93.8,4.242,5902.0
234,4.24439049,174.0,2.01,692.71,4.242,5902.0
236,28.5742692,825.0,2.3149999999999995,20.295,4.515000000000001,5551.0
237,0.689210173,195.0,1.385,3780.625,4.4525,5619.0
238,7.34373964,574.0,1.9700000000000002,142.54000000000002,4.543,5757.0
240,224.7789355,3490.0,7.734999999999999,3.09,4.293,5855.0
241,7.42608123,443.0,2.5500000000000003,298.405,4.334,6039.5
242,15.9868932,179.0,1.6700000000000002,107.37,4.334,6039.5
244,31.5925809,145.0,1.715,52.86500000000001,4.1579999999999995,5681.5
245,17.157236,110.0,1.49,119.375,4.1579999999999995,5681.5
247,53.5057611,196.0,2.54,50.48,4.0175,6250.0
248,2.785821236,68.9,1.7,2440.03,4.029,6197.5
249,1.269091415,341.0,1.43,765.105,4.565999999999999,5041.0
250,2.853133997,277.0,1.3800000000000001,260.145,4.565999999999999,5041.0
251,6.79685353,393.0,2.2199999999999998,293.28999999999996,4.411,6052.0
254,8.7348852,271.0,1.7650000000000001,197.07,4.412000000000001,5964.5
255,17.02902786,569.0,2.525,79.155,4.353,5839.0
256,1.224866441,196.0,1.545,2256.41,4.338500000000001,5553.0
257,25.93406406,415.0,2.52,59.6,4.287,5952.0
258,12.99204853,271.0,2.01,137.10500000000002,4.263999999999999,5759.5
259,52.09081627,2890.0,7.26,31.52,4.2435,6185.5
260,8.18739443,518.0,1.9149999999999998,89.27000000000001,4.506,5251.0
261,3.341799486,178.0,1.685,843.91,4.293,5855.0
262,3.749105745,183.0,1.7449999999999999,471.725,4.42,5745.5
264,7.37290344,205.0,2.7249999999999996,258.06000000000006,4.36,5961.0
265,119.0624882,5370.0,10.865,5.145,4.3825,5697.0
266,8.70798309,1420.0,2.0549999999999997,21.895,4.702500000000001,4366.5
267,4.17634276,532.0,1.2650000000000001,58.265,4.702500000000001,4366.5
268,27.40229859,748.0,3.6849999999999996,74.23499999999999,4.2435,6185.5
269,3.179267286,201.0,1.25,377.03999999999996,4.5120000000000005,5500.0
270,10.38122447,802.0,2.205,50.339999999999996,4.556,5095.0
271,24.5709023,764.0,2.86,15.96,4.556,5095.0
272,3.024092505,7770.0,12.06,1155.0349999999999,4.266,6044.5
273,1.022678654,129.0,1.125,2157.555,4.392,5370.0
274,12.10968709,285.0,2.865,239.24,4.138,6021.0
275,20.4972755,243.0,2.8449999999999998,118.645,4.138,6021.0
276,53.5292702,1090.0,2.3149999999999995,3.63,4.606,4736.0
277,2.757584622,563.0,1.0,33.974999999999994,4.8375,3675.5
278,0.928310036,376.0,1.1549999999999998,368.35,4.6705,4109.0
279,13.48457668,654.0,3.4450000000000003,191.15499999999997,4.2435,6185.5
280,31.8841473,910.0,3.9,27.0,4.429,5775.0
281,12.06222962,300.0,1.6600000000000001,79.99,4.442499999999999,5541.5
282,21.85362905,356.0,1.9049999999999998,43.459999999999994,4.4685,5822.5
283,41.8059544,434.0,2.195,24.23,4.389,5889.0
284,4.77800306,473.0,1.845,181.3,4.494999999999999,5192.0
285,5.32667299,611.0,2.5149999999999997,327.05,4.430000000000001,5820.5
286,8.17242644,864.0,3.415,140.565,4.465,5705.0
287,13.0607936,237.0,1.575,86.32,4.4685,5822.5
288,4.2989201,238.0,2.12,294.505,4.407,5308.0
289,5.714817603,12300.0,10.03,236.26999999999998,4.4685,5695.0
290,8.70420525,1070.0,2.8049999999999997,72.52,4.5009999999999994,5077.5
291,8.1280933,224.0,1.545,186.44,4.430000000000001,5820.5
292,2.83668931,166.0,1.325,757.135,4.430000000000001,5820.5
293,0.974868896,198.0,1.19,1731.29,4.520999999999999,5476.0
294,4.89721006,274.0,1.48,166.99,4.4719999999999995,5101.0
295,16.08832318,598.0,3.42,146.7,4.2445,6157.0
296,10.30067919,272.0,2.1950000000000003,266.17,4.2445,6157.0
297,35.6757453,471.0,3.02,50.75,4.2445,6157.0
298,16.56806842,1330.0,2.56,21.735,4.595000000000001,4987.0
299,47.3329299,932.0,2.2,5.36,4.595000000000001,4987.0
300,40.8065333,314.0,3.52,81.745,4.008,6200.5
301,2.46697039,309.0,1.5300000000000002,389.77,4.5009999999999994,5077.5
302,2.624234833,2610.0,5.295,475.975,4.4785,5340.0
303,6.61836309,549.0,2.8949999999999996,307.85499999999996,4.229000000000001,5537.5
305,9.673958488,953.0,2.635,70.785,4.494999999999999,5192.0
306,14.12847677,629.0,2.875,79.91499999999999,4.429,5775.0
307,8.39842977,340.0,2.215,292.40999999999997,4.3665,6287.0
310,3.4815917,135.0,1.165,439.1,4.390499999999999,5410.5
311,35.61760233,4630.0,5.140000000000001,10.645,4.5335,5138.0
312,10.12805158,477.0,2.0149999999999997,89.005,4.5125,5672.0
314,5.72812616,643.0,1.3849999999999998,25.124999999999996,4.714,3968.0
315,3.75574267,417.0,1.655,248.74,4.5495,5319.0
316,6.581477136,2320.0,4.9799999999999995,191.035,4.34,5196.0
317,2.382652873,705.0,2.995,741.375,4.34,5196.0
318,24.66461416,2400.0,5.835,32.85,4.34,5196.0
319,11.51517167,1360.0,3.005,48.800000000000004,4.551,5177.0
320,7.641567589,2270.0,4.895,157.85,4.3505,5376.0
321,7.40742502,442.0,2.215,241.35500000000002,4.393000000000001,5911.5
322,3.353732008,1260.0,1.615,33.254999999999995,4.797,3785.5
323,6.877446033,1630.0,2.01,12.754999999999999,4.797,3785.5
324,28.46464804,1630.0,1.83,1.92,4.797,3785.5
325,42.89645024,555.0,2.0,9.735,4.494999999999999,5192.0
326,30.5872153,465.0,2.395,38.575,4.359999999999999,5932.0
327,7.09712124,370.0,0.73,7.835,4.872,3565.5
328,3.601465336,778.0,2.275,229.05,4.502000000000001,5056.0
329,25.8474958,537.0,2.65,62.785,4.37,6269.0
330,40.715561,681.0,2.98,34.285,4.37,6269.0
331,17.31711739,1470.0,2.035,10.025,4.7620000000000005,4702.5
332,9.42889884,565.0,4.13,409.02,4.0455,5897.0
