,kepid,Time,Impact,Depth,Radius,Energy,Star_Stability,Temperature
176,5094751,21.22261195,0.199,366.0,2.48,84.15,4.216,5945.0
177,7870390,20.09017037,0.5740000000000001,1430.0,2.215,4.015,4.744,3902.0
178,7907423,7.11373257,0.2255,808.0,1.14,7.975,4.855,3552.0
179,7907423,3.306551643,0.2155,509.0,0.895,22.090000000000003,4.855,3552.0
180,7907423,15.36845737,0.2175,756.0,1.09,2.8449999999999998,4.855,3552.0
181,7938496,13.81020318,0.536,1310.0,4.785,138.975,4.3015,5933.5
182,8490993,4.093578461,0.5985,539.0,3.08,574.13,4.411,6049.5
186,8544996,4.082274889,0.062,17900.0,11.315000000000001,305.875,4.524000000000001,5655.0
187,8552202,3.886655224,0.43750000000000006,582.0,1.975,287.065,4.566000000000001,5662.0
188,8150320,42.1406089,0.219,896.0,1.8900000000000001,3.6600000000000006,4.641,4500.0
189,8150320,4.617490562,0.5575,576.0,1.6500000000000001,69.71,4.641,4500.0
190,8150320,10.19849255,0.5794999999999999,634.0,1.775,24.240000000000002,4.641,4500.0
191,8226994,7.15681552,0.528,867.0,2.42,86.14000000000001,4.519,5033.0
192,8226994,17.64830851,0.5635,763.0,2.3850000000000002,25.86,4.519,5033.0
193,8226994,4.14810719,0.22899999999999998,175.0,1.0550000000000002,178.43,4.519,5033.0
194,8247638,16.51410989,0.2015,974.0,2.7350000000000003,45.485,4.488,5527.0
195,8247638,30.1329298,0.542,1020.0,3.165,20.410000000000004,4.488,5527.0
196,8247638,4.79090809,0.226,251.0,1.37,237.235,4.488,5527.0
197,11086270,31.71981013,0.205,363.0,2.945,70.535,4.0765,5869.0
199,8255887,4.708326451,0.062,7910.0,10.745,499.78499999999997,4.2775,5560.0
200,8414716,5.392026903,0.193,1150.0,2.765,136.065,4.550000000000001,5198.0
201,9140402,2.494170338,0.16699999999999998,864.0,2.48,511.41,4.536,5563.5
204,8628973,3.314947362,0.558,1400.0,4.31,537.52,4.418,5601.0
205,8672910,39.6431552,0.09249999999999999,15700.0,10.845,11.695,4.476,5236.0
206,8689031,21.80451611,0.5840000000000001,1140.0,2.74,23.93,4.587,5489.5
207,8689373,10.28194593,0.21750000000000003,1110.0,2.6149999999999998,56.48,4.557499999999999,5196.0
208,8689373,18.11993039,0.199,1510.0,3.05,26.529999999999998,4.557499999999999,5196.0
209,8689373,3.78402867,0.566,426.0,1.7650000000000001,214.085,4.557499999999999,5196.0
210,8826878,5.15448142,0.609,698.0,3.0599999999999996,237.41500000000002,4.431,5431.0
211,8883593,5.743469797,0.1865,1240.0,3.46,289.47499999999997,4.443,5888.0
212,8951215,39.4759093,0.6199999999999999,1010.0,4.494999999999999,34.375,4.369,6192.5
213,9077124,3.166353562,0.1765,1470.0,4.225,819.4649999999999,4.3919999999999995,5986.0
218,9479273,6.104849417,0.123,2090.0,3.17,90.05,4.592,5085.0
219,8359498,3.578780566,0.0745,11400.0,10.43,412.85,4.423500000000001,5524.0
220,9334289,5.826657508,0.184,1540.0,4.145,263.23,4.3735,5557.0
221,9334289,12.41216347,0.2295,611.0,2.615,95.995,4.3735,5557.0
222,9334289,18.74649011,0.2745,797.0,3.09,55.465,4.3735,5557.0
223,9347899,20.86021229,0.16,1910.0,5.365,88.635,4.247999999999999,6035.0
224,9347899,42.63427848,0.16549999999999998,1720.0,5.095,34.16,4.247999999999999,6035.0
225,9347899,87.6476068,0.21150000000000002,1010.0,3.905,13.075,4.247999999999999,6035.0
226,9347899,9.61731426,0.20600000000000002,234.0,1.895,248.595,4.247999999999999,6035.0
227,9388479,9.467821474,0.171,2240.0,2.0999999999999996,6.404999999999999,4.8095,3573.0
228,11359879,4.942783419,0.566,11100.0,10.974999999999998,267.12,4.429499999999999,5508.5
229,9406990,20.83426731,0.21100000000000002,988.0,2.975,37.225,4.479000000000001,5537.0
230,9415172,9.94602357,0.21750000000000003,995.0,3.125,104.095,4.383,5344.0
231,9415172,1.04562195,0.23099999999999998,213.0,1.45,2107.87,4.383,5344.0
232,3231341,8.14515981,0.7135,447.0,3.33,290.30500000000006,4.242,5902.0
233,3231341,18.9985279,34.416,431.0,41.985,93.8,4.242,5902.0
